36.67 86.01 11.40 21.21 18.79 6.08 18.25 14.87 12.00 82.76 16.40 32.56 13.15 24.04 35.85 37.12 3.61 24.04 9.85 87.46 14.42 0.00 14.56 17.80 35.78 11.18 82.87 13.45 12.00 11.40 22.02 
50.09 77.62 7.62 9.90 21.84 9.43 4.12 1.00 4.47 77.06 9.85 18.11 2.24 13.34 21.47 28.32 11.18 21.21 11.18 79.31 17.09 14.56 0.00 7.00 26.91 10.82 78.03 6.40 4.47 3.16 21.00 
50.16 70.88 14.32 15.65 28.64 14.42 8.94 6.00 11.18 70.06 4.47 18.68 9.06 6.71 19.24 33.84 14.21 28.16 10.20 72.53 23.77 17.80 7.00 0.00 32.45 9.06 71.03 4.47 11.18 8.54 28.00 
71.78 95.02 24.70 17.03 24.02 30.02 23.60 27.66 25.61 98.15 36.40 22.00 26.17 36.25 30.02 1.41 34.13 15.03 37.54 97.01 24.33 35.78 26.91 32.45 0.00 37.48 100.02 33.30 25.61 28.32 18.03 
41.11 74.85 14.32 20.62 27.17 11.05 14.76 10.30 12.21 72.01 5.83 27.29 11.31 13.89 28.28 38.90 8.25 29.55 1.41 76.32 22.20 11.18 10.82 9.06 37.48 0.00 72.34 5.10 12.21 9.22 28.46 
89.04 22.20 85.01 85.48 99.08 83.22 79.23 77.03 82.00 5.10 69.03 78.59 80.01 65.19 71.17 101.20 80.50 99.13 73.44 21.02 94.09 82.87 78.03 71.03 100.02 72.34 0.00 73.03 82.00 79.01 99.02 
46.04 74.00 12.04 16.28 26.08 10.77 10.00 5.66 9.22 72.34 4.00 22.20 7.62 10.63 23.54 34.71 9.90 26.93 6.00 75.58 21.10 13.45 6.40 4.47 33.30 5.10 73.03 0.00 9.22 6.08 26.31 
48.51 82.01 3.16 9.49 17.46 6.08 6.71 5.39 0.00 81.15 13.15 20.88 2.24 17.72 25.24 27.02 9.22 17.72 12.04 83.68 12.65 12.00 4.47 11.18 25.61 12.21 82.00 9.22 0.00 3.16 17.12 
47.17 79.40 6.00 11.66 20.22 6.40 7.00 3.61 3.16 78.23 10.05 21.21 2.24 15.23 24.60 29.73 8.06 20.88 9.22 81.04 15.30 11.40 3.16 8.54 28.32 9.22 79.01 6.08 3.16 0.00 20.22 
55.46 98.06 14.32 15.65 6.00 17.89 20.40 22.00 17.12 98.05 30.27 29.21 19.03 34.13 36.36 19.00 21.95 3.00 27.86 99.82 7.81 22.02 21.00 28.00 18.03 28.46 99.02 26.31 17.12 20.22 0.00 
